id,element,useCase,type,outboundDegree,inboundDegree
1,undefined,Sequence Diagram1,0,undefined,undefined
2,2,Sequence Diagram1,0,undefined,undefined
3,3,Sequence Diagram1,0,undefined,undefined
4,7,Sequence Diagram1,0,undefined,undefined
5,4,Sequence Diagram1,0,undefined,undefined
6,5,Sequence Diagram1,0,undefined,undefined
7,6,Sequence Diagram1,0,undefined,undefined
8,undefined,Sequence Diagram1,0,undefined,undefined
9,undefined,Sequence Diagram1,0,undefined,undefined
10,8,Sequence Diagram1,0,undefined,undefined
11,10,Sequence Diagram1,0,undefined,undefined
12,11,Sequence Diagram1,0,undefined,undefined
13,12,Sequence Diagram1,0,undefined,undefined
14,13,Sequence Diagram1,0,undefined,undefined
15,14,Sequence Diagram1,0,undefined,undefined
16,stl#undefined,Sequence Diagram1,0,undefined,undefined
17,Action 0,Diagram2,0,undefined,undefined
18,Action 1,Diagram2,0,undefined,undefined
19,Action 2,Diagram2,0,undefined,undefined
20,alt 0,Diagram2,0,undefined,undefined
21,11,Diagram2,0,undefined,undefined
22,2,Diagram2,0,undefined,undefined
23,3,Diagram2,0,undefined,undefined
24,alt1,Diagram2,0,undefined,undefined
25,alt3,Diagram2,0,undefined,undefined
26,alter2,Diagram2,0,undefined,undefined
27,stl#Action 0,Diagram2,0,undefined,undefined
28,stl#Action 1,Diagram2,0,undefined,undefined
29,Test3,UseCase1,0,undefined,undefined
30,Test2,UseCase1,0,undefined,undefined
31,Test1,UseCase1,0,undefined,undefined
32,login trigger,UseCase2,0,undefined,undefined
33,Action4,UseCase2,0,undefined,undefined
34,Action3,UseCase2,0,undefined,undefined
35,Test Action,Use Case3,0,undefined,undefined
