id,element,type,outboundDegree, inboundDegree
1,Actor,actor,1,0
2,cancel deletion,control,1,1
3,change mode,control,1,0
4,confirm delete photos,control,1,1
5,photo,entity,0,2
6,photo list,boundary,3,3
7,pop up photo connection error,control,1,1
8,select photos,control,1,2
9,Actor,actor,3,0
10,Admin page,boundary,0,3
11,Display event list,control,1,1
12,Event list,boundary,1,4
13,Get event list,control,3,1
14,Get photo list,control,2,1
15,Photo list,boundary,0,1
16,Pop up photo connection error,control,1,1
17,Search box,boundary,0,4
18,display photo list,control,1,1
19,event,entity,1,1
20,photo,entity,1,1
21,pop up event connection error,control,2,0
22,Actor,actor,3,0
23,Account,entity,1,1
24,Admin page,boundary,0,4
25,Display user list,control,1,1
26,Get photo list,control,2,1
27,Get user list,control,3,1
28,Photo list,boundary,0,1
29,Pop up photo connection error,control,1,1
30,Search box,boundary,0,3
31,User list,boundary,1,4
32,display photo list,control,1,1
33,photo,entity,1,1
34,pop up event connection error,control,2,0
35,Actor,actor,3,0
36,Delete expired events automatically,control,1,2
37,delete expired location photos automatically,control,1,2
38,delete photos related to expired events automatically,control,1,2
39,event,entity,0,1
40,photo,entity,0,2
41,Actor,actor,1,0
42,Account,entity,0,1
43,Display pop-up "Password do not match" on Sign up Screen,control,2,0
44,Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen,control,1,1
45,Display pop-up "invalid email or email is already in use" on Sign Up Screen,control,1,1
46,Display pop-up "invalid password" on Sign Up Screen,control,1,1
47,Sign up Screen,boundary,1,6
48,User Collection,entity,0,1
49,verify confirm password,control,0,1
50,verify email,control,2,1
51,verify password,control,2,1
52,verify username,control,3,1
53,Actor,actor,1,0
54,Display Selected Photo on Profile Photo Screen,control,1,1
55,Display available photos on Photos Screen,control,1,2
56,Display photo on  Profile photo screen,control,2,0
57,Display pop-up "Password do not match" on Sign up Screen,control,1,0
58,Photos Screen,boundary,1,1
59,Profile,entity,0,1
60,Profile Photo Screen,boundary,2,5
61,Save Profile Photo,control,1,1
62,Actor,actor,1,0
63,Create Event Screen,boundary,2,2
64,Event Collection,entity,0,2
65,Handle Validate Error,control,1,3
66,Validate hashtag containts alphanume dash underscore,control,2,1
67,Validate hashtag uniqueness,control,2,1
68,Actor,actor,1,0
69,Create Event Screen,boundary,2,2
70,Event Collection,entity,0,2
71,Handle Validate Error,control,1,3
