id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,$help://usecasediagram.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,$help://actor.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,$help://use_case_model_pattern.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,$help://usecasediagram.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,$help://actor.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,$help://use_case_model_pattern.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,System Boundary,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,$help://usecasediagram.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,$help://actor.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,$help://use_case_model_pattern.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,System Boundary,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
