id,element,useCase,type,outboundDegree,inboundDegree
1,Report Poster:Bad driver reporting screen,Capture Frame from Video and get  LP number,0,undefined,undefined
2,Report Poster:Capture frame from video and extract LP#,Capture Frame from Video and get  LP number,0,undefined,undefined
3,Bad driver reporting screen:Display video with media controls,Capture Frame from Video and get  LP number,0,undefined,undefined
4,Cancel report:Email client,Capture Frame from Video and get  LP number,0,undefined,undefined
5,Capture frame from video and extract LP#:Cancel report,Capture Frame from Video and get  LP number,0,undefined,undefined
6,Capture frame from video and extract LP#:Displlay captured frame,Capture Frame from Video and get  LP number,0,undefined,undefined
7,Capture frame from video and extract LP#:Zoom and crop functionality,Capture Frame from Video and get  LP number,0,undefined,undefined
8,Capture frame from video and extract LP#:Describe LP# in editable field,Capture Frame from Video and get  LP number,0,undefined,undefined
9,Capture frame from video and extract LP#:Display video with media controls,Capture Frame from Video and get  LP number,0,undefined,undefined
10,Capture frame from video and extract LP#:Extract LP#,Capture Frame from Video and get  LP number,0,undefined,undefined
11,Finish:Capture frame from video and extract LP#,Capture Frame from Video and get  LP number,0,undefined,undefined
12,confirm LP#:Capture frame from video and extract LP#,Capture Frame from Video and get  LP number,0,undefined,undefined
13,Describe LP# in editable field:emergency alert,Capture Frame from Video and get  LP number,0,undefined,undefined
14,Zoom and crop functionality:Display cropped image,Capture Frame from Video and get  LP number,0,undefined,undefined
15,Display video with media controls:Display emergency alert web form,Capture Frame from Video and get  LP number,0,undefined,undefined
16,Display video with media controls:video,Capture Frame from Video and get  LP number,0,undefined,undefined
17,Extract LP#:emergency alert,Capture Frame from Video and get  LP number,0,undefined,undefined
18,Finish:Video,Capture Frame from Video and get  LP number,0,undefined,undefined
19,confirm LP#:Finish,Capture Frame from Video and get  LP number,0,undefined,undefined
20,return LP# and image:Video,Capture Frame from Video and get  LP number,0,undefined,undefined
21,Zoom and crop functionality:emergency alert,Capture Frame from Video and get  LP number,0,undefined,undefined
22,confirm LP#:return LP# and image,Capture Frame from Video and get  LP number,0,undefined,undefined
23,emergency alert:return LP# and image,Capture Frame from Video and get  LP number,0,undefined,undefined
24,stl#Report Poster:Bad driver reporting screen,Capture Frame from Video and get  LP number,0,undefined,undefined
25,stl#Report Poster:Capture frame from video and extract LP#,Capture Frame from Video and get  LP number,0,undefined,undefined
