id,transaction,useCase,transactional,TL, DETs, TD, Arch_Diff
1,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Post report,Post Bad Driver Report to Insurance DB,TRAN_NA,7,0,39,273
2,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:describe vechle(license  # model/make etc)->describe vechle(license  # model/make etc):Bad Dirver Report->Bad Dirver Report:Review Report,Post Bad Driver Report to Insurance DB,TRAN_NA,9,0,39,351
3,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Display video->Display video:List of reports screen->List of reports screen:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen,Post Bad Driver Report to Insurance DB,TRAN_NA,10,0,39,390
4,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Display in non-editable fields->Display in non-editable fields:get date time and location of incident from video metadata->get date time and location of incident from video metadata:Video->Video:Display video->Display video:List of reports screen->List of reports screen:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen,Post Bad Driver Report to Insurance DB,TRAN_NA,13,0,39,507
5,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Capture Image,Post Bad Driver Report to Insurance DB,TRAN_NA,7,0,39,273
6,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Cancel report->Cancel report:Bad Dirver Report->Bad Dirver Report:Review Report,Post Bad Driver Report to Insurance DB,TRAN_NA,9,0,39,351
7,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Bad Dirver Report->Bad Dirver Report:Review Report,Post Bad Driver Report to Insurance DB,TRAN_NA,6,0,39,234
8,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:describe vechle(license  # model/make etc)->describe vechle(license  # model/make etc):Bad Dirver Report->Bad Dirver Report:Review Report,Post Bad Driver Report to Insurance DB,TRAN_NA,5,0,39,195
9,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Display video->Display video:List of reports screen->List of reports screen:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Display video,Post Bad Driver Report to Insurance DB,TRAN_NA,7,0,39,273
10,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Display video->Display video:List of reports screen->List of reports screen:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen,Post Bad Driver Report to Insurance DB,TRAN_NA,10,0,39,390
11,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Display video->Display video:List of reports screen->List of reports screen:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Post report->Post report:check if all details are filled?->check if all details are filled?:Bad Dirver Report->Bad Dirver Report:Review Report,Post Bad Driver Report to Insurance DB,TRAN_NA,10,0,39,390
12,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Display video->Display video:List of reports screen->List of reports screen:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:describe vechle(license  # model/make etc)->describe vechle(license  # model/make etc):Bad Dirver Report->Bad Dirver Report:Review Report,Post Bad Driver Report to Insurance DB,TRAN_NA,9,0,39,351
13,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Display video->Display video:List of reports screen->List of reports screen:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Display in non-editable fields->Display in non-editable fields:get date time and location of incident from video metadata->get date time and location of incident from video metadata:Video->Video:Display video->Display video:List of reports screen,Post Bad Driver Report to Insurance DB,TRAN_NA,11,0,39,429
14,stl#Report Poster:Enter License Plate# Screen->Report Poster:Enter License Plate# Screen->Enter License Plate# Screen:Display video->Display video:List of reports screen->List of reports screen:Display error message from empty fields->Display error message from empty fields:Enter License Plate# Screen->Enter License Plate# Screen:Capture Image,Post Bad Driver Report to Insurance DB,TRAN_NA,7,0,39,273
