id,path,transactional,path_length,diagram,useCase
1,Administrator->signup request details->update user info->user info,CTRL,4,Approve Signup,Approve Signup
2,Administrator->signup request details->update user info->user info,DM,4,Approve Signup,Approve Signup
3,Administrator->signup request details->update user info->user info,EI,4,Approve Signup,Approve Signup
4,Administrator->approve sign up screen->retrieve signup requests->signup request,CTRL,4,Approve Signup,Approve Signup
5,Administrator->approve sign up screen->retrieve signup requests->signup request,DM,4,Approve Signup,Approve Signup
6,Administrator->approve sign up screen->retrieve signup requests->signup request,EI,4,Approve Signup,Approve Signup
7,Administrator->approve sign up screen->retrieve request detail->signup request details,CTRL,4,Approve Signup,Approve Signup
8,Administrator->approve sign up screen->retrieve request detail->signup request details,INT,4,Approve Signup,Approve Signup
9,Administrator->approve sign up screen->retrieve request detail->signup request,CTRL,4,Approve Signup,Approve Signup
10,Administrator->approve sign up screen->retrieve request detail->signup request,DM,4,Approve Signup,Approve Signup
11,Administrator->approve sign up screen->retrieve request detail->signup request,EI,4,Approve Signup,Approve Signup
