id,path,transactional,path_length,diagram,useCase
1,Administrator->Display pending tasks button->Query task list->Task,CTRL,4,View Pending Tasks,View Pending Tasks
2,Administrator->Display pending tasks button->Query task list->Task,DM,4,View Pending Tasks,View Pending Tasks
3,Administrator->Display pending tasks button->Query task list->Task,EI,4,View Pending Tasks,View Pending Tasks
4,Administrator->Display pending tasks button->Query task list->Empty task screen,CTRL,4,View Pending Tasks,View Pending Tasks
5,Administrator->Display pending tasks button->Query task list->Empty task screen,INT,4,View Pending Tasks,View Pending Tasks
6,Administrator->Display pending tasks button->Query task list->pending tasks screen,CTRL,4,View Pending Tasks,View Pending Tasks
7,Administrator->Display pending tasks button->Query task list->pending tasks screen,INT,4,View Pending Tasks,View Pending Tasks
8,Administrator->pending tasks screen->query detail of task and assignee.->Assignee,CTRL,4,View Pending Tasks,View Pending Tasks
9,Administrator->pending tasks screen->query detail of task and assignee.->Assignee,DM,4,View Pending Tasks,View Pending Tasks
10,Administrator->pending tasks screen->query detail of task and assignee.->Assignee,EI,4,View Pending Tasks,View Pending Tasks
11,Administrator->pending tasks screen->query detail of task and assignee.->Task,CTRL,4,View Pending Tasks,View Pending Tasks
12,Administrator->pending tasks screen->query detail of task and assignee.->Task,DM,4,View Pending Tasks,View Pending Tasks
13,Administrator->pending tasks screen->query detail of task and assignee.->Task,EI,4,View Pending Tasks,View Pending Tasks
