id,path,transactional,path_length,diagram,useCase
1,Administrator->Comment View->Update acceptance status->Comments,CTRL,4,Accept/Reject Comment,Accept/Reject Comment
2,Administrator->Comment View->Update acceptance status->Comments,DM,4,Accept/Reject Comment,Accept/Reject Comment
3,Administrator->Comment View->Update acceptance status->Comments,EI,4,Accept/Reject Comment,Accept/Reject Comment
4,Administrator->Comment View->Update acceptance status->Change the status of the task->Task,CTRL,5,Accept/Reject Comment,Accept/Reject Comment
5,Administrator->Comment View->Update acceptance status->Change the status of the task->Task,DM,5,Accept/Reject Comment,Accept/Reject Comment
6,Administrator->Comment View->Update acceptance status->Change the status of the task->Task,EI,5,Accept/Reject Comment,Accept/Reject Comment
7,Administrator->Comment View->Update acceptance status->pend the task->Task,CTRL,5,Accept/Reject Comment,Accept/Reject Comment
8,Administrator->Comment View->Update acceptance status->pend the task->Task,DM,5,Accept/Reject Comment,Accept/Reject Comment
9,Administrator->Comment View->Update acceptance status->pend the task->Task,EI,5,Accept/Reject Comment,Accept/Reject Comment
10,Administrator->submitted comments  screen->Retrieve comment and user info->User Info,CTRL,4,Accept/Reject Comment,Accept/Reject Comment
11,Administrator->submitted comments  screen->Retrieve comment and user info->User Info,DM,4,Accept/Reject Comment,Accept/Reject Comment
12,Administrator->submitted comments  screen->Retrieve comment and user info->User Info,EI,4,Accept/Reject Comment,Accept/Reject Comment
13,Administrator->submitted comments  screen->Retrieve comment and user info->Comments,CTRL,4,Accept/Reject Comment,Accept/Reject Comment
14,Administrator->submitted comments  screen->Retrieve comment and user info->Comments,DM,4,Accept/Reject Comment,Accept/Reject Comment
15,Administrator->submitted comments  screen->Retrieve comment and user info->Comments,EI,4,Accept/Reject Comment,Accept/Reject Comment
16,Administrator->Administrator's dashboard->Display the submitted comments screen->Comments,CTRL,4,Accept/Reject Comment,Accept/Reject Comment
17,Administrator->Administrator's dashboard->Display the submitted comments screen->Comments,DM,4,Accept/Reject Comment,Accept/Reject Comment
18,Administrator->Administrator's dashboard->Display the submitted comments screen->Comments,EI,4,Accept/Reject Comment,Accept/Reject Comment
19,Administrator->Administrator's dashboard->Display the submitted comments screen->submitted comments  screen,CTRL,4,Accept/Reject Comment,Accept/Reject Comment
20,Administrator->Administrator's dashboard->Display the submitted comments screen->submitted comments  screen,INT,4,Accept/Reject Comment,Accept/Reject Comment
