id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,user already exists toasts,boundary,0,2,Create meeting,Create meeting,
2,meeting,entity,0,1,Create meeting,Create meeting,
3,create a meeting,control,1,1,Create meeting,Create meeting,
4,Verifies attendee list,control,2,1,Create meeting,Create meeting,
5,Tasks,entity,0,1,Create meeting,Create meeting,
6,Attendee Info,entity,0,1,Create meeting,Create meeting,
7,Create meeting screen,boundary,1,2,Create meeting,Create meeting,
8,display the create meeting screen,control,3,1,Create meeting,Create meeting,
9,create meeting option,boundary,1,1,Create meeting,Create meeting,
10,Administrator,actor,3,0,Create meeting,Create meeting,
