id,path,transactional,path_length,diagram,useCase
1,Administrator->Create meeting screen->Verifies attendee list->user already exists toasts,CTRL,4,Create meeting,Create meeting
2,Administrator->Create meeting screen->Verifies attendee list->user already exists toasts,INT,4,Create meeting,Create meeting
3,Administrator->Create meeting screen->Verifies attendee list->create a meeting->meeting,CTRL,5,Create meeting,Create meeting
4,Administrator->Create meeting screen->Verifies attendee list->create a meeting->meeting,DM,5,Create meeting,Create meeting
5,Administrator->Create meeting screen->Verifies attendee list->create a meeting->meeting,EI,5,Create meeting,Create meeting
6,Administrator->create meeting option->display the create meeting screen->Attendee Info,CTRL,4,Create meeting,Create meeting
7,Administrator->create meeting option->display the create meeting screen->Attendee Info,DM,4,Create meeting,Create meeting
8,Administrator->create meeting option->display the create meeting screen->Attendee Info,EI,4,Create meeting,Create meeting
9,Administrator->create meeting option->display the create meeting screen->Tasks,CTRL,4,Create meeting,Create meeting
10,Administrator->create meeting option->display the create meeting screen->Tasks,DM,4,Create meeting,Create meeting
11,Administrator->create meeting option->display the create meeting screen->Tasks,EI,4,Create meeting,Create meeting
12,Administrator->create meeting option->display the create meeting screen->Create meeting screen,CTRL,4,Create meeting,Create meeting
13,Administrator->create meeting option->display the create meeting screen->Create meeting screen,INT,4,Create meeting,Create meeting
