id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
1,User->Login Page->open sign up page->sign up page,EQ,CTRL|INT,4,2,1,0,1,4,Signup,Signup
2,User->sign up page->save user info for admin->User info already created,EQ,CTRL|INT,4,2,1,0,1,5,Signup,Signup
3,User->sign up page->save user info for admin->user info,EI,CTRL|DM|EI,4,1,1,1,1,2,Signup,Signup
4,User->sign up page->save user info for admin->Display error message->Invalid information,EQ,CTRL|INT,5,2,2,0,1,7,Signup,Signup
5,User->sign up page->save user info for admin->View user registration info,EQ,CTRL|INT,4,2,1,0,1,5,Signup,Signup
6,User->sign up page->save user info for admin->Notification of unsuccessful registration,EQ,CTRL|INT,4,2,1,0,1,5,Signup,Signup
7,User->sign up page->save user info for admin->notification of successful registration,EQ,CTRL|INT,4,2,1,0,1,5,Signup,Signup
8,User->sign up page->select admin option->save user info for admin->User info already created,EQ,CTRL|INT,5,2,2,0,1,7,Signup,Signup
9,User->sign up page->select admin option->save user info for admin->user info,EI,CTRL|DM|EI,5,1,2,1,1,4,Signup,Signup
10,User->sign up page->select admin option->save user info for admin->Display error message->Invalid information,EQ,CTRL|INT,6,2,3,0,1,7,Signup,Signup
11,User->sign up page->select admin option->save user info for admin->View user registration info,EQ,CTRL|INT,5,2,2,0,1,7,Signup,Signup
12,User->sign up page->select admin option->save user info for admin->Notification of unsuccessful registration,EQ,CTRL|INT,5,2,2,0,1,7,Signup,Signup
13,User->sign up page->select admin option->save user info for admin->notification of successful registration,EQ,CTRL|INT,5,2,2,0,1,7,Signup,Signup
14,Admin->View user registration info->approve user registration->user info,EI,CTRL|DM|EI,4,1,1,1,1,2,Signup,Signup
15,User->Select project page->retrieve project information->project info,EI,CTRL|DM|EI,4,1,1,1,1,1,Login,Login
16,User->Select project page->retrieve project information->Administrator dashboard,EQ,CTRL|INT,4,2,1,0,1,5,Login,Login
17,User->Login page->verify login information->Login Error Page,EQ,CTRL|INT,4,2,1,0,1,4,Login,Login
18,User->Login page->verify login information->Select project page,EQ,CTRL|INT,4,2,1,0,1,4,Login,Login
19,User->Login page->verify login information->general user dashboard,EQ,CTRL|INT,4,2,1,0,1,4,Login,Login
20,User->Login page->verify login information->user info,EI,CTRL|DM|EI,4,1,1,1,1,1,Login,Login
21,User->Edit Profile Page->verify input information->update user account information->account information,EI,CTRL|DM|EI,5,1,2,1,1,1,Edit Profile,Edit Profile
22,User->Edit Profile Page->verify input information->Error Information,EQ,CTRL|INT,4,2,1,0,1,4,Edit Profile,Edit Profile
23,Administrator->signup request details->update user info->user info,EI,CTRL|DM|EI,4,1,1,1,1,1,Approve Signup,Approve Signup
24,Administrator->approve sign up screen->retrieve signup requests->signup request,EI,CTRL|DM|EI,4,1,1,1,1,2,Approve Signup,Approve Signup
25,Administrator->approve sign up screen->retrieve request detail->signup request details,EQ,CTRL|INT,4,2,1,0,1,5,Approve Signup,Approve Signup
26,Administrator->approve sign up screen->retrieve request detail->signup request,EI,CTRL|DM|EI,4,1,1,1,1,2,Approve Signup,Approve Signup
27,Administrator->Edit default attendee list->verify attendee information->Attendee is not available,EQ,CTRL|INT,4,2,1,0,1,5,Create New Project,Create New Project
28,Administrator->Edit default attendee list->verify attendee information->attendee information list,EI,CTRL|DM|EI,4,1,1,1,1,1,Create New Project,Create New Project
29,Administrator->Create a project screen->Verify project information->Project information error,EQ,CTRL|INT,4,2,1,0,1,4,Create New Project,Create New Project
30,Administrator->Create a project screen->Verify project information->Edit default attendee list,EQ,CTRL|INT,4,2,1,0,1,4,Create New Project,Create New Project
31,Administrator->Create a project screen->Verify project information->Project,EI,CTRL|DM|EI,4,1,1,1,1,1,Create New Project,Create New Project
32,Administrator->Comment View->Update acceptance status->Comments,EI,CTRL|DM|EI,4,1,1,1,1,2,Accept/Reject Comment,Accept/Reject Comment
33,Administrator->Comment View->Update acceptance status->Change the status of the task->Task,EI,CTRL|DM|EI,5,1,2,1,1,2,Accept/Reject Comment,Accept/Reject Comment
34,Administrator->Comment View->Update acceptance status->pend the task->Task,EI,CTRL|DM|EI,5,1,2,1,1,2,Accept/Reject Comment,Accept/Reject Comment
35,Administrator->submitted comments  screen->Retrieve comment and user info->User Info,EI,CTRL|DM|EI,4,1,1,1,1,1,Accept/Reject Comment,Accept/Reject Comment
36,Administrator->submitted comments  screen->Retrieve comment and user info->Comments,EI,CTRL|DM|EI,4,1,1,1,1,2,Accept/Reject Comment,Accept/Reject Comment
37,Administrator->Administrator's dashboard->Display the submitted comments screen->Comments,EI,CTRL|DM|EI,4,1,1,1,1,2,Accept/Reject Comment,Accept/Reject Comment
38,Administrator->Administrator's dashboard->Display the submitted comments screen->submitted comments  screen,EQ,CTRL|INT,4,2,1,0,1,4,Accept/Reject Comment,Accept/Reject Comment
39,Administrator->Display pending tasks button->Query task list->Task,EI,CTRL|DM|EI,4,1,1,1,1,1,View Pending Tasks,View Pending Tasks
40,Administrator->Display pending tasks button->Query task list->Empty task screen,EQ,CTRL|INT,4,2,1,0,1,4,View Pending Tasks,View Pending Tasks
41,Administrator->Display pending tasks button->Query task list->pending tasks screen,EQ,CTRL|INT,4,2,1,0,1,4,View Pending Tasks,View Pending Tasks
