id,path,transactional,path_length,diagram,useCase
1,Valet->register button->displays registration page->registration page,CTRL,4,Register as Valet,Register as Valet
2,Valet->register button->displays registration page->registration page,INT,4,Register as Valet,Register as Valet
3,Valet->successfully save registration information->navigate to manage employee page->management empolyee page,CTRL,4,Register as Valet,Register as Valet
4,Valet->successfully save registration information->navigate to manage employee page->management empolyee page,INT,4,Register as Valet,Register as Valet
5,Valet->registration page->validate registration information->duplicate registration information,CTRL,4,Register as Valet,Register as Valet
6,Valet->registration page->validate registration information->duplicate registration information,INT,4,Register as Valet,Register as Valet
7,Valet->registration page->validate registration information->registration information invalid message,CTRL,4,Register as Valet,Register as Valet
8,Valet->registration page->validate registration information->registration information invalid message,INT,4,Register as Valet,Register as Valet
9,Valet->registration page->validate registration information->employee,CTRL,4,Register as Valet,Register as Valet
10,Valet->registration page->validate registration information->employee,DM,4,Register as Valet,Register as Valet
11,Valet->registration page->validate registration information->employee,EI,4,Register as Valet,Register as Valet
12,Valet->registration page->validate registration information->display spinner while saving information,CTRL,4,Register as Valet,Register as Valet
13,Valet->registration page->validate registration information->display spinner while saving information,INT,4,Register as Valet,Register as Valet
14,Valet->registration page->validate registration information->save valet information->system error when saving registration information,CTRL,5,Register as Valet,Register as Valet
15,Valet->registration page->validate registration information->save valet information->system error when saving registration information,INT,5,Register as Valet,Register as Valet
16,Valet->registration page->validate registration information->save valet information->employee,CTRL,5,Register as Valet,Register as Valet
17,Valet->registration page->validate registration information->save valet information->employee,DM,5,Register as Valet,Register as Valet
18,Valet->registration page->validate registration information->save valet information->employee,EI,5,Register as Valet,Register as Valet
19,Valet->registration page->validate registration information->save valet information->successfully save registration information,CTRL,5,Register as Valet,Register as Valet
20,Valet->registration page->validate registration information->save valet information->successfully save registration information,INT,5,Register as Valet,Register as Valet
