id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,server error,boundary,0,2,Check in as customer,Check in as customer,
2,Redirect to venue list,control,1,1,Check in as customer,Check in as customer,
3,display confirmation prompt,control,4,1,Check in as customer,Check in as customer,
4,Redirect to vehicle request screen,control,1,1,Check in as customer,Check in as customer,
5,confirmation prompt,boundary,2,2,Check in as customer,Check in as customer,
6,Advertisement for random venue,boundary,0,3,Check in as customer,Check in as customer,
7,Vehicle request screen,boundary,3,2,Check in as customer,Check in as customer,
8,venue,entity,0,3,Check in as customer,Check in as customer,
9,pull advertisement for random venue,control,2,1,Check in as customer,Check in as customer,
10,venue list,boundary,1,2,Check in as customer,Check in as customer,
11,Valet,actor,7,0,Check in as customer,Check in as customer,
