id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,sign in error message,boundary,0,4,Sign in social media accounts,Sign in social media accounts,
2,query linkedin,control,1,1,Sign in social media accounts,Sign in social media accounts,
3,query google plus info,control,1,1,Sign in social media accounts,Sign in social media accounts,
4,query facebook info,control,1,1,Sign in social media accounts,Sign in social media accounts,
5,LinkedIn,actor,1,1,Sign in social media accounts,Sign in social media accounts,
6,Google plus,actor,1,1,Sign in social media accounts,Sign in social media accounts,
7,Facebook,actor,1,1,Sign in social media accounts,Sign in social media accounts,
8,query linkedin,control,1,1,Sign in social media accounts,Sign in social media accounts,
9,query google plus info,control,1,1,Sign in social media accounts,Sign in social media accounts,
10,query facebook info,control,2,1,Sign in social media accounts,Sign in social media accounts,
11,credential input page,boundary,3,2,Sign in social media accounts,Sign in social media accounts,
12,display crendential input page,control,1,1,Sign in social media accounts,Sign in social media accounts,
13,social media login buttons,boundary,1,1,Sign in social media accounts,Sign in social media accounts,
14,User,actor,3,0,Sign in social media accounts,Sign in social media accounts,
