id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,role,entity,0,2,View document,View document,
2,Printer service,actor,0,1,View document,View document,
3,File Manager,actor,0,1,View document,View document,
4,query document,control,2,1,View document,View document,
5,Youth,actor,4,0,View document,View document,
6,print,control,2,1,View document,View document,
7,unauthorized request,boundary,0,4,View document,View document,
8,download,control,2,1,View document,View document,
9,db,entity,0,1,View document,View document,
10,document upload page,boundary,1,4,View document,View document,
11,unauthorized request message,boundary,0,4,View document,View document,
12,Validate print/download request,control,4,1,View document,View document,
13,validate role of user,control,3,1,View document,View document,
14,document list,boundary,1,3,View document,View document,
15,Administrator,actor,4,0,View document,View document,
16,Case Manager,actor,4,0,View document,View document,
