id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,3,0,Use Case Model,Admin searches for photo by user,
2,display photo list,control,1,1,Use Case Model,Admin searches for photo by user,
3,Pop up photo connection error,control,1,1,Use Case Model,Admin searches for photo by user,
4,Photo list,boundary,0,1,Use Case Model,Admin searches for photo by user,
5,Display user list,control,1,1,Use Case Model,Admin searches for photo by user,
6,User list,boundary,1,4,Use Case Model,Admin searches for photo by user,
7,Search box,boundary,0,3,Use Case Model,Admin searches for photo by user,
8,Account,entity,1,1,Use Case Model,Admin searches for photo by user,
9,Get photo list,control,2,1,Use Case Model,Admin searches for photo by user,
10,photo,entity,1,1,Use Case Model,Admin searches for photo by user,
11,Get user list,control,3,1,Use Case Model,Admin searches for photo by user,
12,pop up event connection error,control,2,0,Use Case Model,Admin searches for photo by user,
13,Admin page,boundary,0,4,Use Case Model,Admin searches for photo by user,
