id,path,transactional,path_length,diagram,useCase
1,Actor->upload choice->upload to current location->camera->get location successfully->current location,CTRL,6,Use Case Model,Take photo for location
2,Actor->upload choice->upload to current location->camera->get location successfully->current location,DM,6,Use Case Model,Take photo for location
3,Actor->upload choice->upload to current location->camera->get location successfully->current location,EQ,6,Use Case Model,Take photo for location
4,Actor->upload choice->upload to current location->camera->get location successfully->current location,INT,6,Use Case Model,Take photo for location
5,Actor->current location->upload->my upload->failed to upload->upload choice,CTRL,6,Use Case Model,Take photo for location
6,Actor->current location->upload->my upload->failed to upload->upload choice,DM,6,Use Case Model,Take photo for location
7,Actor->current location->upload->my upload->failed to upload->upload choice,EQ,6,Use Case Model,Take photo for location
8,Actor->current location->upload->my upload->failed to upload->upload choice,INT,6,Use Case Model,Take photo for location
9,Actor->current location->upload->my upload->Upload finished->upload choice,CTRL,6,Use Case Model,Take photo for location
10,Actor->current location->upload->my upload->Upload finished->upload choice,DM,6,Use Case Model,Take photo for location
11,Actor->current location->upload->my upload->Upload finished->upload choice,EQ,6,Use Case Model,Take photo for location
12,Actor->current location->upload->my upload->Upload finished->upload choice,INT,6,Use Case Model,Take photo for location
