id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,display  log in screen,control,1,1,Use Case Model,Navigation
2,is  user logged in?,control,5,1,Use Case Model,Navigation
3,display profile screen,control,1,1,Use Case Model,Navigation
4,display search screen,control,1,1,Use Case Model,Navigation
5,display event screen,control,1,1,Use Case Model,Navigation
6,display photo screen,control,1,1,Use Case Model,Navigation
7,Log in screen,boundary,0,1,Use Case Model,Navigation
8,profile screen,boundary,0,1,Use Case Model,Navigation
9,search screen,boundary,0,1,Use Case Model,Navigation
10,event screen,boundary,0,1,Use Case Model,Navigation
11,Photo screen,boundary,0,1,Use Case Model,Navigation
12,Tap a icon on navigation bar,control,1,1,Use Case Model,Navigation
13,Display navigation bar,control,1,0,Use Case Model,Navigation
14,Navigation bar,boundary,1,2,Use Case Model,Navigation
15,User,actor,53,0,Use Case Model,Navigation
16,Actor,actor,3,0,Use Case Model,Automatic deletion
17,event,entity,0,1,Use Case Model,Automatic deletion
18,photo,entity,0,2,Use Case Model,Automatic deletion
19,delete photos related to expired events automatically,control,1,2,Use Case Model,Automatic deletion
20,delete expired location photos automatically,control,1,2,Use Case Model,Automatic deletion
21,Delete expired events automatically,control,1,2,Use Case Model,Automatic deletion
22,Actor,actor,1,0,Use Case Model,Admin deletes photo
23,confirm delete photos,control,1,1,Use Case Model,Admin deletes photo
24,photo,entity,0,2,Use Case Model,Admin deletes photo
25,cancel deletion,control,1,1,Use Case Model,Admin deletes photo
26,select photos,control,1,2,Use Case Model,Admin deletes photo
27,pop up photo connection error,control,1,1,Use Case Model,Admin deletes photo
28,change mode,control,1,0,Use Case Model,Admin deletes photo
29,photo list,boundary,3,3,Use Case Model,Admin deletes photo
30,Actor,actor,3,0,Use Case Model,Admin searches for photo by event
31,Pop up photo connection error,control,1,1,Use Case Model,Admin searches for photo by event
32,Photo list,boundary,0,1,Use Case Model,Admin searches for photo by event
33,Display event list,control,1,1,Use Case Model,Admin searches for photo by event
34,Event list,boundary,1,4,Use Case Model,Admin searches for photo by event
35,Admin page,boundary,0,3,Use Case Model,Admin searches for photo by event
36,event,entity,1,1,Use Case Model,Admin searches for photo by event
37,Get photo list,control,2,1,Use Case Model,Admin searches for photo by event
38,photo,entity,1,1,Use Case Model,Admin searches for photo by event
39,Get event list,control,3,1,Use Case Model,Admin searches for photo by event
40,display photo list,control,1,1,Use Case Model,Admin searches for photo by event
41,pop up event connection error,control,2,0,Use Case Model,Admin searches for photo by event
42,Search box,boundary,0,4,Use Case Model,Admin searches for photo by event
43,Actor,actor,3,0,Use Case Model,Admin searches for photo by user
44,display photo list,control,1,1,Use Case Model,Admin searches for photo by user
45,Pop up photo connection error,control,1,1,Use Case Model,Admin searches for photo by user
46,Photo list,boundary,0,1,Use Case Model,Admin searches for photo by user
47,Display user list,control,1,1,Use Case Model,Admin searches for photo by user
48,User list,boundary,1,4,Use Case Model,Admin searches for photo by user
49,Search box,boundary,0,3,Use Case Model,Admin searches for photo by user
50,Account,entity,1,1,Use Case Model,Admin searches for photo by user
51,Get photo list,control,2,1,Use Case Model,Admin searches for photo by user
52,photo,entity,1,1,Use Case Model,Admin searches for photo by user
53,Get user list,control,3,1,Use Case Model,Admin searches for photo by user
54,pop up event connection error,control,2,0,Use Case Model,Admin searches for photo by user
55,Admin page,boundary,0,4,Use Case Model,Admin searches for photo by user
56,Actor,actor,1,0,Use Case Model,Create Account
