id,operation,element,diagram
1,create,EventController,Domain Classes
2,edit,EventController,Domain Classes
3,index,EventController,Domain Classes
4,show,EventController,Domain Classes
5,store,EventController,Domain Classes
6,update,EventController,Domain Classes
7,createCampaign,Event,Domain Classes
8,deleteCampaign,Event,Domain Classes
9,findCampaign,Event,Domain Classes
10,updateCampaign,Event,Domain Classes
11,create,PostController,Domain Classes
12,destroy,PostController,Domain Classes
13,dislikePost,PostController,Domain Classes
14,edit,PostController,Domain Classes
15,index,PostController,Domain Classes
16,likePost,PostController,Domain Classes
17,report,PostController,Domain Classes
18,reportPost,PostController,Domain Classes
19,requestDelete,PostController,Domain Classes
20,store,PostController,Domain Classes
21,undislikePost,PostController,Domain Classes
22,unlikePost,PostController,Domain Classes
23,update,PostController,Domain Classes
24,create,ItemController,Domain Classes
25,destory,ItemController,Domain Classes
26,edit,ItemController,Domain Classes
27,index,ItemController,Domain Classes
28,operation,ItemController,Domain Classes
29,show,ItemController,Domain Classes
30,store,ItemController,Domain Classes
31,update,ItemController,Domain Classes
32,createItem,Item,Domain Classes
33,daleteItem,Item,Domain Classes
34,findItem,Item,Domain Classes
35,updateItem,Item,Domain Classes
36,create,ItemCategoryController,Domain Classes
37,destroy,ItemCategoryController,Domain Classes
38,edit,ItemCategoryController,Domain Classes
39,index,ItemCategoryController,Domain Classes
40,show,ItemCategoryController,Domain Classes
41,store,ItemCategoryController,Domain Classes
42,update,ItemCategoryController,Domain Classes
43,createCategory,ItemCategory,Domain Classes
44,deleteCategory,ItemCategory,Domain Classes
45,findCategory,ItemCategory,Domain Classes
46,updateCategory,ItemCategory,Domain Classes
47,checkImage,UserController,Domain Classes
48,confirm,UserController,Domain Classes
49,create,UserController,Domain Classes
50,destory,UserController,Domain Classes
51,edit,UserController,Domain Classes
52,index,UserController,Domain Classes
53,resetPassword,UserController,Domain Classes
54,show,UserController,Domain Classes
55,store,UserController,Domain Classes
56,update,UserController,Domain Classes
57,updateCategories,UserController,Domain Classes
58,updateCoverPicture,UserController,Domain Classes
59,updatePassword,UserController,Domain Classes
60,updatePicture,UserController,Domain Classes
61,updateProfilePicture,UserController,Domain Classes
62,create,SessionController,Domain Classes
63,destory,SessionController,Domain Classes
64,edit,SessionController,Domain Classes
65,index,SessionController,Domain Classes
66,show,SessionController,Domain Classes
67,store,SessionController,Domain Classes
68,update,SessionController,Domain Classes
69,create,SearchController,Domain Classes
70,destory,SearchController,Domain Classes
71,edit,SearchController,Domain Classes
72,index,SearchController,Domain Classes
73,search,SearchController,Domain Classes
74,show,SearchController,Domain Classes
75,showViolation,SearchController,Domain Classes
76,store,SearchController,Domain Classes
77,update,SearchController,Domain Classes
78,index,NotificationController,Domain Classes
79,createType,Notification Type,Domain Classes
80,confirm,StoreController,Domain Classes
81,create,StoreController,Domain Classes
82,destory,StoreController,Domain Classes
83,edit,StoreController,Domain Classes
84,index,StoreController,Domain Classes
85,purchase,StoreController,Domain Classes
86,show,StoreController,Domain Classes
