id,path,transactional,path_length,diagram,useCase
1,Traveler->Login main page->Validate/check->Account->Retrieve account info->Start auth session->display->Previous page (any page),CTRL,8,Login to tripplanner,Login to tripplanner - iOS
2,Traveler->Login main page->Validate/check->Account->Retrieve account info->Start auth session->display->Previous page (any page),DM,8,Login to tripplanner,Login to tripplanner - iOS
3,Traveler->Login main page->Validate/check->Account->Retrieve account info->Start auth session->display->Previous page (any page),EQ,8,Login to tripplanner,Login to tripplanner - iOS
4,Traveler->Login main page->Validate/check->Account->Retrieve account info->Start auth session->display->Previous page (any page),INT,8,Login to tripplanner,Login to tripplanner - iOS
5,Traveler->Login main page->display->Forget password page,CTRL,4,Login to tripplanner,Login to tripplanner - iOS
6,Traveler->Login main page->display->Forget password page,INT,4,Login to tripplanner,Login to tripplanner - iOS
7,Traveler->Login main page->Display->Create account page,CTRL,4,Login to tripplanner,Login to tripplanner - iOS
8,Traveler->Login main page->Display->Create account page,INT,4,Login to tripplanner,Login to tripplanner - iOS
9,Traveler->Main page->Display->Login main page,CTRL,4,Login to tripplanner,Login to tripplanner - iOS
10,Traveler->Main page->Display->Login main page,INT,4,Login to tripplanner,Login to tripplanner - iOS
