id,path,transactional,path_length,diagram,useCase
1,Traveler->Main screen->Display Find screen->Fnd screen with search bar,CTRL,4,Find, add, and delete places,Find, add, and delete places
2,Traveler->Main screen->Display Find screen->Fnd screen with search bar,INT,4,Find, add, and delete places,Find, add, and delete places
3,Traveler->Main screen->Displays manage subscriptions screen->Displays a list of added place of this user->Manage subscription screen with a list of added places,CTRL,5,Find, add, and delete places,Find, add, and delete places
4,Traveler->Main screen->Displays manage subscriptions screen->Displays a list of added place of this user->Manage subscription screen with a list of added places,INT,5,Find, add, and delete places,Find, add, and delete places
5,Traveler->Main screen->Displays manage subscriptions screen->Manage subscription screen with a list of added places,CTRL,4,Find, add, and delete places,Find, add, and delete places
6,Traveler->Main screen->Displays manage subscriptions screen->Manage subscription screen with a list of added places,INT,4,Find, add, and delete places,Find, add, and delete places
7,Place database->Displays a list of related places with add button->a list of places with add button on find screen,TRAN_NA,3,Find, add, and delete places,Find, add, and delete places
8,Place->Displays a list of related places with add button->a list of places with add button on find screen,TRAN_NA,3,Find, add, and delete places,Find, add, and delete places
9,Place->Displays a list of added place of this user->Manage subscription screen with a list of added places,TRAN_NA,3,Find, add, and delete places,Find, add, and delete places
10,Place->Displays a delete button under place item->delete this place from added places  list->user data database->Display the add button tin color blue->a list of places with add button on find screen,TRAN_NA,6,Find, add, and delete places,Find, add, and delete places
11,Place->Displays a delete button under place item->delete this place from added places  list->user data database->Displays a list of added place of this user->Manage subscription screen with a list of added places,TRAN_NA,6,Find, add, and delete places,Find, add, and delete places
12,Place->Displays a delete button under place item->delete this place from added places  list->user data database->Display the add button in color gray->a list of places with add button on find screen,TRAN_NA,6,Find, add, and delete places,Find, add, and delete places
