id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Scan QR Code,control,1,1,Redeem Coupon,Redeem Coupon - iOS,
2,Input Coupon Code ID,control,1,1,Redeem Coupon,Redeem Coupon - iOS,
3,Redeem Coupon Page,boundary,2,1,Redeem Coupon,Redeem Coupon - iOS,
4,Click Redeem Button,boundary,1,2,Redeem Coupon,Redeem Coupon - iOS,
5,Remove,control,0,1,Redeem Coupon,Redeem Coupon - iOS,
6,Admin Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - iOS,
7,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - iOS,
8,Database,entity,1,0,Redeem Coupon,Redeem Coupon - iOS,
9,Display redeemed coupon page,control,1,1,Redeem Coupon,Redeem Coupon - iOS,
10,Redeemed coupon record page,boundary,0,3,Redeem Coupon,Redeem Coupon - iOS,
11,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - iOS,
12,User,actor,3,0,Redeem Coupon,Redeem Coupon - iOS,
13,Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - iOS,
