id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Error messagge popup,boundary,0,1,Experiment Use Case,Validate Redemption Password,
2,Display Popup Error Message,control,1,1,Experiment Use Case,Validate Redemption Password,
3,Display Pop-up Error Message,control,1,1,Experiment Use Case,Validate Redemption Password,
4,Error message popup,boundary,0,1,Experiment Use Case,Validate Redemption Password,
5,get Redeem password,control,2,1,Experiment Use Case,Validate Redemption Password,
6,Is redemption password valid?,control,4,1,Experiment Use Case,Validate Redemption Password,
7,Coupon Successfully Redeemed Popup Message,boundary,0,1,Experiment Use Case,Validate Redemption Password,
8,Enter Password,control,1,1,Experiment Use Case,Validate Redemption Password,
9,Display Redeem Coupon Page,control,1,1,Experiment Use Case,Validate Redemption Password,
10,Coupon,entity,1,0,Experiment Use Case,Validate Redemption Password,
11,Traveler,actor,1,0,Experiment Use Case,Validate Redemption Password,
12,Traveler Account,entity,0,1,Experiment Use Case,Validate Redemption Password,
13,Display Coupon Successfully Redeemed Popup Message,control,1,1,Experiment Use Case,Validate Redemption Password,
14,Redemption Password Validation Page,boundary,1,3,Experiment Use Case,Validate Redemption Password,
15,Display Redemption Password Validation Page,control,2,1,Experiment Use Case,Validate Redemption Password,
16,Redeem Coupon Page,boundary,0,1,Experiment Use Case,Validate Redemption Password,
