id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Invalid/incorrect LinkedIn credentials,boundary,1,2,Create Profile,Create Profile,
2,Invalid email format,boundary,1,2,Create Profile,Create Profile,
3,Not consistent passwords,boundary,1,2,Create Profile,Create Profile,
4,check validity of input information,control,3,1,Create Profile,Create Profile,
5,redirect to sign in page,control,1,4,Create Profile,Create Profile,
6,display login failure message with LinkIn,control,1,1,Create Profile,Create Profile,
7,Login error,boundary,1,2,Create Profile,Create Profile,
8,display information from LinkedIN,control,1,1,Create Profile,Create Profile,
9,My Profile,boundary,0,2,Create Profile,Create Profile,
10,save it to user info,control,2,1,Create Profile,Create Profile,
11,Query user information from LinkedIN,control,4,1,Create Profile,Create Profile,
12,LikedIn Credential Input Page,boundary,1,2,Create Profile,Create Profile,
13,LinkedIn,actor,0,0,Create Profile,Create Profile,
14,open linkedin crendential input page,control,1,1,Create Profile,Create Profile,
15,LikedIn Button,boundary,1,1,Create Profile,Create Profile,
16,Email protocol,actor,0,1,Create Profile,Create Profile,
17,User Info,entity,0,2,Create Profile,Create Profile,
18,save entered user information,control,2,1,Create Profile,Create Profile,
19,send email for verification,control,2,1,Create Profile,Create Profile,
20,Sign-in form,boundary,1,2,Create Profile,Create Profile,
21,User,actor,9,0,Create Profile,Create Profile,
