id,attribute,type,element,diagram
1,recomendationWeights,int,UserRecommender,Domain Classes
2,adId,int,Advertisement,Domain Classes
3,content,int,Advertisement,Domain Classes
4,description,int,Advertisement,Domain Classes
5,groupId,int,Member,Domain Classes
6,individualId,int,Member,Domain Classes
7,memeberId,int,Member,Domain Classes
8,status,int,Member,Domain Classes
9,adminId,int,Group,Domain Classes
10,category,char[],Group,Domain Classes
11,createdTime,int,Group,Domain Classes
12,description,char[],Group,Domain Classes
13,groupdId,int,Group,Domain Classes
14,name,char[],Group,Domain Classes
15,privacy,char[],Group,Domain Classes
16,hobbyName,int,HobbySet,Domain Classes
17,notificationId,int,Notification,Domain Classes
18,sender,char[],Notification,Domain Classes
19,status,int,Notification,Domain Classes
20,type,char[],Notification,Domain Classes
21,contactNumber,int,AdditionalInfo,Domain Classes
22,emailAddress,char[],AdditionalInfo,Domain Classes
23,skillName,int,Skill,Domain Classes
24,completionDate,int,Projects,Domain Classes
25,projDescription,int,Projects,Domain Classes
26,projTitle,int,Projects,Domain Classes
27,courseCode,int,Courses,Domain Classes
28,courseInstitude,char[],Courses,Domain Classes
29,courseName,string,Courses,Domain Classes
30,compnayName,int,Experience,Domain Classes
31,designation,int,Experience,Domain Classes
32,endDate,int,Experience,Domain Classes
33,expInfo,char[],Experience,Domain Classes
34,startDate,int,Experience,Domain Classes
35,content,char[],Message,Domain Classes
36,date,int,Message,Domain Classes
37,msgId,int,Message,Domain Classes
38,recepient,char[],Message,Domain Classes
39,sender,char[],Message,Domain Classes
40,status,int,Message,Domain Classes
41,subject,char[],Message,Domain Classes
42,content,char[],Recommendation Letter,Domain Classes
43,date,int,Recommendation Letter,Domain Classes
44,letterId,int,Recommendation Letter,Domain Classes
45,recepient,char[],Recommendation Letter,Domain Classes
46,sender,char[],Recommendation Letter,Domain Classes
47,status,char[],Recommendation Letter,Domain Classes
48,subject,char[],Recommendation Letter,Domain Classes
49,accid1,int,Connection,Domain Classes
50,accid2,int,Connection,Domain Classes
51,status,int,Connection,Domain Classes
52,connection,Profile,ConnectionUpdate,Domain Classes
53,contentType,char[],Attachment,Domain Classes
54,filename,char[],Attachment,Domain Classes
55,url,char[],Attachment,Domain Classes
56,attachments,char[],Update,Domain Classes
57,description,char[],Update,Domain Classes
58,publisher,char[],Update,Domain Classes
59,title,char[],Update,Domain Classes
60,type,int,Update,Domain Classes
61,userAccid,int,FollowerSet,Domain Classes
62,aboutUs,char[],Company,Domain Classes
63,bannerImage,int[],Company,Domain Classes
64,followers,int[],Company,Domain Classes
65,headquarters,char[],Company,Domain Classes
66,industry,char[],Company,Domain Classes
67,institutionName,char[],Company,Domain Classes
68,numEmployees,int,Company,Domain Classes
69,profilePicture,char[],Company,Domain Classes
70,website,char[],Company,Domain Classes
71,accountId,int,Account,Domain Classes
72,emailAddress,char[],Account,Domain Classes
73,firstName,char[],Account,Domain Classes
74,lastName,char[],Account,Domain Classes
75,password,char[],Account,Domain Classes
76,careerInterest,char,Individual,Domain Classes
77,ethnicity,int,Individual,Domain Classes
78,experienceSet,char[],Individual,Domain Classes
79,headline,char,Individual,Domain Classes
80,industry,char,Individual,Domain Classes
81,location,int,Individual,Domain Classes
82,notificationSet,char[],Individual,Domain Classes
83,profilePicture,char,Individual,Domain Classes
84,projectSet,char[],Individual,Domain Classes
85,skillSet,char[],Individual,Domain Classes
86,summary,char,Individual,Domain Classes
87,website,char,Individual,Domain Classes
88,Search,parameters:String[],CompanySearch,Domain Classes
89,Search,parameters:String[],IndividualSearch,Domain Classes
90,Search,parameters:list,SearchStrategy,Domain Classes
91,searchStrategies,List,SearchEngine,Domain Classes
92,fieldNames,String[],SearchParameters,Domain Classes
93,fieldValue,String[],SearchParameters,Domain Classes
94,parameterNumber,int,SearchParameters,Domain Classes
95,SearchResultList,list,SearchResult,Domain Classes
96,names,String[],SearchResultEntity,Domain Classes
97,values,String[],SearchResultEntity,Domain Classes
