id,operation,element,diagram
1,ApproveTrainers,Dashboard user management page,Domain Objects
2,DisapproveTrainers,Dashboard user management page,Domain Objects
3,Cancel,Course request page,Domain Objects
4,Submit,Course request page,Domain Objects
5,ApproveCourse,Dashboard process request page,Domain Objects
6,DisapproveCourse,Dashboard process request page,Domain Objects
7,modify,Dashboard order management page,Domain Objects
8,show,Dashboard order management page,Domain Objects
9,show,Order records page,Domain Objects
10,sort,Order records page,Domain Objects
11,Cancel,Trainer schedule page,Domain Objects
12,Modify,Trainer schedule page,Domain Objects
13,Save,Trainer schedule page,Domain Objects
14,show,Dashboard review management page,Domain Objects
15,sort,Dashboard review management page,Domain Objects
16,rate,Course Review Page,Domain Objects
17,review,Course Review Page,Domain Objects
18,Cancel,Trainer profile page,Domain Objects
19,Modify,Trainer profile page,Domain Objects
20,Save,Trainer profile page,Domain Objects
21,cancel,Sign up trainer page,Domain Objects
22,submit,Sign up trainer page,Domain Objects
23,confirm,Payment page,Domain Objects
24,Search,Course search page,Domain Objects
25,Cancel,Course attendeee profile page,Domain Objects
26,Modify,Course attendeee profile page,Domain Objects
27,Save,Course attendeee profile page,Domain Objects
28,cancel,Sign up course attendee page,Domain Objects
29,submit,Sign up course attendee page,Domain Objects
30,back,Login Page,Domain Objects
31,login,Login Page,Domain Objects
