id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Email protocol,actor,0,1,Verify new course,Verify new course,
2,send email to trianer,control,1,1,Verify new course,Verify new course,
3,acceptance,entity,0,1,Verify new course,Verify new course,
4,load course information,control,3,1,Verify new course,Verify new course,
5,course,entity,0,2,Verify new course,Verify new course,
6,course informaton,boundary,1,2,Verify new course,Verify new course,
7,save the acceptance information,control,3,1,Verify new course,Verify new course,
8,course information is no t valid message,boundary,0,2,Verify new course,Verify new course,
9,course list,boundary,1,1,Verify new course,Verify new course,
10,Admin,actor,3,0,Verify new course,Verify new course,
