id,path,transactional,path_length,diagram,useCase
1,Trainer->load schedule button->query schedule info->schedule,CTRL,4,Update schedule,Update schedule
2,Trainer->load schedule button->query schedule info->schedule,DM,4,Update schedule,Update schedule
3,Trainer->load schedule button->query schedule info->schedule,EI,4,Update schedule,Update schedule
4,Trainer->load schedule button->query schedule info->schedule info page,CTRL,4,Update schedule,Update schedule
5,Trainer->load schedule button->query schedule info->schedule info page,INT,4,Update schedule,Update schedule
6,Trainer->schedule info page->display update schedule page->schedule update page,CTRL,4,Update schedule,Update schedule
7,Trainer->schedule info page->display update schedule page->schedule update page,INT,4,Update schedule,Update schedule
8,Trainer->schedule update page->validate updated schedule info->save updated schedule->schedule,CTRL,5,Update schedule,Update schedule
9,Trainer->schedule update page->validate updated schedule info->save updated schedule->schedule,DM,5,Update schedule,Update schedule
10,Trainer->schedule update page->validate updated schedule info->save updated schedule->schedule,EI,5,Update schedule,Update schedule
11,Trainer->schedule update page->validate updated schedule info->Invalid input schedule info,CTRL,4,Update schedule,Update schedule
12,Trainer->schedule update page->validate updated schedule info->Invalid input schedule info,INT,4,Update schedule,Update schedule
