id,path,functional,transactional,path_length,diagram,useCase
1,Contractor->Website detail input page->verify input information->save website info->websites,EI,CTRL|DM|EI,undefined,Add a new website,Add a new website
2,Contractor->Website detail input page->verify input information->Invalid website information,EQ,CTRL|INT,undefined,Add a new website,Add a new website
3,Contractor->websites tab->query crawling list of websites->List of websites,EQ,CTRL|INT,undefined,Show the website,Show the website
4,Contractor->websites tab->query crawling list of websites->websites,EI,CTRL|DM|EI,undefined,Show the website,Show the website
5,Contractor->List of websites->display confirm tab->confirm dialog,EQ,CTRL|INT,undefined,Show the website,Show the website
6,Contractor->show crawling list->query crawling list of websites->List of websites,EQ,CTRL|INT,undefined,Edit website details,Edit website details
7,Contractor->show crawling list->query crawling list of websites->websites,EI,CTRL|DM|EI,undefined,Edit website details,Edit website details
8,Contractor->Attribute list of website->add attributes->websites,EI,CTRL|DM|EI,undefined,Edit website details,Edit website details
9,Contractor->List of websites->query attributes of webbiste->websites,EI,CTRL|DM|EI,undefined,Edit website details,Edit website details
10,Contractor->List of websites->query attributes of webbiste->Attribute list of website,EQ,CTRL|INT,undefined,Edit website details,Edit website details
11,contractor->player detail page->add player->player,EI,CTRL|DM|EI,undefined,Add a new player,Add a new player
12,contractor->players tab->query crawling list of players->all players list,EQ,CTRL|INT,undefined,Add a new player,Add a new player
13,contractor->players tab->query crawling list of players->player,EI,CTRL|DM|EI,undefined,Add a new player,Add a new player
14,contractor->all players list->query attribute list of a player->player detail page,EQ,CTRL|INT,undefined,Add a new player,Add a new player
15,contractor->all players list->query attribute list of a player->player,EI,CTRL|DM|EI,undefined,Add a new player,Add a new player
16,contractor->players tab->query crawling list of players->all players list,EQ,CTRL|INT,undefined,Show the player,Show the player
17,contractor->players tab->query crawling list of players->player,EI,CTRL|DM|EI,undefined,Show the player,Show the player
18,contractor->all players list->query player info->player,EI,CTRL|DM|EI,undefined,Show the player,Show the player
19,contractor->all players list->query player info->player detail page,EQ,CTRL|INT,undefined,Show the player,Show the player
20,contractor->all players list->query attribute list of a player->player,EI,CTRL|DM|EI,undefined,Edit the crawling attributes of a player,Edit the crawling attributes of a player
21,contractor->all players list->query attribute list of a player->player detail page,EQ,CTRL|INT,undefined,Edit the crawling attributes of a player,Edit the crawling attributes of a player
22,contractor->players tab->query crawling list of players->player,EI,CTRL|DM|EI,undefined,Edit the crawling attributes of a player,Edit the crawling attributes of a player
23,contractor->players tab->query crawling list of players->all players list,EQ,CTRL|INT,undefined,Edit the crawling attributes of a player,Edit the crawling attributes of a player
24,contractor->player detail page->update player attributes->player,EI,CTRL|DM|EI,undefined,Edit the crawling attributes of a player,Edit the crawling attributes of a player
25,Contractor->websites tab->query crawling list of websites->List of websites,EQ,CTRL|INT,undefined,Delete a website,Delete a website
26,Contractor->websites tab->query crawling list of websites->websites,EI,CTRL|DM|EI,undefined,Delete a website,Delete a website
27,Contractor->List of websites->display confirm tab->confirm dialog,EQ,CTRL|INT,undefined,Delete a website,Delete a website
28,Contractor->confirm dialog->delete website->websites,EI,CTRL|DM|EI,undefined,Delete a website,Delete a website
29,contractor->players tab->query crawling list of players->all players list,EQ,CTRL|INT,undefined,Schedule player crawl,Schedule player crawl
30,contractor->players tab->query crawling list of players->player,EI,CTRL|DM|EI,undefined,Schedule player crawl,Schedule player crawl
31,contractor->all players list->add player to scheduling list->schedule,EI,CTRL|DM|EI,undefined,Schedule player crawl,Schedule player crawl
32,contractor->all players list->add player to scheduling list->schedule success message,EQ,CTRL|INT,undefined,Schedule player crawl,Schedule player crawl
