id,operation,element,diagram
1,delete,MessageService,Domain Objects
2,delete_by_group,MessageService,Domain Objects
3,get_control_list,MessageService,Domain Objects
4,get_message,MessageService,Domain Objects
5,send,MessageService,Domain Objects
6,match,MatchService,Domain Objects
7,get_user,User,Domain Objects
8,insert_user,User,Domain Objects
9,register,User,Domain Objects
10,show,User,Domain Objects
11,show_user_email,User,Domain Objects
12,update_user_password,User,Domain Objects
13,validate_user_name,User,Domain Objects
14,get_country_abbreviation,Language,Domain Objects
15,get_language_id,Language,Domain Objects
16,get_language_list,Language,Domain Objects
17,show_user_skill,Skill,Domain Objects
18,update_user_skill,Skill,Domain Objects
19,show_user_desire,Desire,Domain Objects
20,update_user_desire,Desire,Domain Objects
