id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Move Army Closer,control,1,1,Fight Army,Fight Battle,
2,Update Minimap,control,0,2,Fight Army,Fight Battle,
3,Calculate Score,control,1,1,Fight Army,Fight Battle,
4,Destroy armyMan,control,1,1,Fight Army,Fight Battle,
5,Minimap,boundary,1,1,Fight Army,Fight Battle,
6,Check if weapon hit the army,control,3,1,Fight Army,Fight Battle,
7,Achievements,entity,0,1,Fight Army,Fight Battle,
8,Battle,entity,0,1,Fight Army,Fight Battle,
9,Battle Scene,boundary,1,1,Fight Army,Fight Battle,
10,User,actor,2,0,Fight Army,Fight Battle,
