id,path,transactional,path_length,diagram,useCase
1,User->list of gateway->popup gateway name edit page->gateway name edit page,CTRL,4,Assign gateways names,Assign gateways names
2,User->list of gateway->popup gateway name edit page->gateway name edit page,INT,4,Assign gateways names,Assign gateways names
3,User->list of gateway->popup gateway name edit page->gateway,CTRL,4,Assign gateways names,Assign gateways names
4,User->list of gateway->popup gateway name edit page->gateway,DM,4,Assign gateways names,Assign gateways names
5,User->list of gateway->popup gateway name edit page->gateway,EI,4,Assign gateways names,Assign gateways names
6,User->gateway name edit page->save gateway name to DB->gateway,CTRL,4,Assign gateways names,Assign gateways names
7,User->gateway name edit page->save gateway name to DB->gateway,DM,4,Assign gateways names,Assign gateways names
8,User->gateway name edit page->save gateway name to DB->gateway,EI,4,Assign gateways names,Assign gateways names
9,User->gateway name edit page->save gateway name to DB->display error message->Error message when saving name,CTRL,5,Assign gateways names,Assign gateways names
10,User->gateway name edit page->save gateway name to DB->display error message->Error message when saving name,INT,5,Assign gateways names,Assign gateways names
