id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff,Complexity
1,stl#User:read task->User:read task->read task:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,CTRL,4,3,NaN,undefined,NaN,7
2,stl#User:give their responses->User:give their responses->give their responses:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,4,3,NaN,undefined,NaN,12
3,stl#User:Click Select another scenario button->User:Click Select another scenario button->Click Select another scenario button:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,CTRL,4,3,NaN,undefined,NaN,6
4,stl#User:clicks continue button->User:clicks continue button->clicks continue button:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,NaN,undefined,NaN,14
5,stl#User:clicks on radio buttons of answers->User:clicks on radio buttons of answers->clicks on radio buttons of answers:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,NaN,undefined,NaN,14
6,stl#User:reads question->User:reads question->reads question:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,NaN,undefined,NaN,9
7,stl#User:clicks next->User:clicks next->clicks next:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,NaN,undefined,NaN,2
8,stl#User:reads scenario memo->User:reads scenario memo->reads scenario memo:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,NaN,undefined,NaN,16
9,stl#User:Click Continue button->User:Click Continue button->Click Continue button:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,6,5,NaN,undefined,NaN,13
10,stl#User:Click on Database button on sidebar->User:Click on Database button on sidebar->Click on Database button on sidebar:Shows database information->Shows database information:Displays list of tables along with empty/drop buttons next to them->Displays list of tables along with empty/drop buttons next to them:Responses deleted from table->Responses deleted from table:Homepage,clear submit answers,TRAN_NA,6,5,NaN,undefined,NaN,2
11,stl#User:selects empty for userResponses table->User:selects empty for userResponses table->selects empty for userResponses table:Displays list of tables along with empty/drop buttons next to them->Displays list of tables along with empty/drop buttons next to them:Responses deleted from table->Responses deleted from table:Homepage,clear submit answers,CTRL;EXTCLL;INT,5,4,NaN,undefined,NaN,5
12,stl#User:Homepage->User:Homepage,clear submit answers,CTRL;EXTCLL;INT,2,1,NaN,undefined,NaN,16
13,"stl#User:Click on Empty/Drop tables button	->User:Click on Empty/Drop tables button	->Click on Empty/Drop tables button	:Shows database information->Shows database information:Displays list of tables along with empty/drop buttons next to them->Displays list of tables along with empty/drop buttons next to them:Responses deleted from table->Responses deleted from table:Homepage",clear submit answers,TRAN_NA,6,5,NaN,undefined,NaN,11
14,stl#User:Clicks update button->User:Clicks update button->Clicks update button:Displays error message indicating why the update failed->Displays error message indicating why the update failed:Homepage,edit page on website,TRAN_NA,4,3,NaN,undefined,NaN,2
15,stl#User:selects page to edit->User:selects page to edit->selects page to edit:Displays message saying page has been updated->Displays message saying page has been updated:Displays error message indicating why the update failed->Displays error message indicating why the update failed:Homepage,edit page on website,TRAN_NA,5,4,NaN,undefined,NaN,15
16,stl#User:Modifies the text that displays on that page->User:Modifies the text that displays on that page->Modifies the text that displays on that page:Displays message saying page has been updated->Displays message saying page has been updated:Displays error message indicating why the update failed->Displays error message indicating why the update failed:Homepage,edit page on website,CTRL;EXTCLL;INT,5,4,NaN,undefined,NaN,14
17,stl#User:Click on login in page->User:Click on login in page->Click on login in page:imput usename and password ->imput usename and password :validate usename and password->validate usename and password:show confirmation->show confirmation:Homepage,login,TRAN_NA,6,5,NaN,undefined,NaN,11
18,stl#User:User does not select any radio button->User:User does not select any radio button->User does not select any radio button:validate usename and password->validate usename and password:show confirmation->show confirmation:Homepage,login,TRAN_NA,5,4,NaN,undefined,NaN,16
19,stl#User:Click Continue button->User:Click Continue button->Click Continue button:imput usename and password ->imput usename and password :validate usename and password->validate usename and password:show confirmation->show confirmation:Homepage,login,TRAN_NA,6,5,NaN,undefined,NaN,10
20,stl#User:Click Continue button->User:Click Continue button->Click Continue button:Returns staff member to combat conflict front page->Returns staff member to combat conflict front page:show confirmation->show confirmation:Homepage->Homepage:Browser alerts user that they have not selected any option,logout,TRAN_NA,6,5,NaN,undefined,NaN,1
21,stl#User:Click Continue button->User:Click Continue button->Click Continue button:Returns staff member to combat conflict front page->Returns staff member to combat conflict front page:Browser alerts user that they have not selected any option,logout,TRAN_NA,4,3,NaN,undefined,NaN,7
22,stl#User:User does not select any radio button->User:User does not select any radio button->User does not select any radio button:Browser alerts user that they have not selected any option,logout,TRAN_NA,3,2,NaN,undefined,NaN,6
23,stl#User:Homepage->User:Homepage->Homepage:Browser alerts user that they have not selected any option,logout,TRAN_NA,3,2,NaN,undefined,NaN,4
24,"stl#User:Click logout button	->User:Click logout button	->Click logout button	:Returns staff member to combat conflict front page->Returns staff member to combat conflict front page:show confirmation->show confirmation:Homepage->Homepage:Browser alerts user that they have not selected any option",logout,TRAN_NA,6,5,NaN,undefined,NaN,3
25,"stl#User:Click logout button	->User:Click logout button	->Click logout button	:Returns staff member to combat conflict front page->Returns staff member to combat conflict front page:Browser alerts user that they have not selected any option",logout,TRAN_NA,4,3,NaN,undefined,NaN,14
26,stl#User:Click Continue button->User:Click Continue button->Click Continue button:Browser alerts user that they have not selected any option,provide information,TRAN_NA,3,2,NaN,undefined,NaN,14
27,stl#User:Click on Civilian or veteran radio button->User:Click on Civilian or veteran radio button->Click on Civilian or veteran radio button:System loads and displays first scenario->System loads and displays first scenario:Browser alerts user that they have not selected any option,provide information,TRAN_NA,4,3,NaN,undefined,NaN,1
28,stl#User:Click Continue button->User:Click Continue button->Click Continue button:System loads and displays first scenario->System loads and displays first scenario:Browser alerts user that they have not selected any option,provide information,TRAN_NA,4,3,NaN,undefined,NaN,4
29,stl#User:clicks on radio buttons of answers->User:clicks on radio buttons of answers->clicks on radio buttons of answers:System loads and displays first scenario->System loads and displays first scenario:Answers from page stored as cookie->Answers from page stored as cookie:loads next scenario->loads next scenario:stores answers in database->stores answers in database:displays thank you message ->displays thank you message :Homepage,take scenario pre-assignment,CTRL;EXTCLL;INT,8,7,NaN,undefined,NaN,7
30,"stl#User:User reads scenario description	->User:User reads scenario description	->User reads scenario description	:System loads and displays first scenario->System loads and displays first scenario:Answers from page stored as cookie->Answers from page stored as cookie:loads next scenario->loads next scenario:stores answers in database->stores answers in database:displays thank you message ->displays thank you message :Homepage",take scenario pre-assignment,CTRL;EXTCLL;INT,8,7,NaN,undefined,NaN,11
31,stl#User:Click Continue button->User:Click Continue button->Click Continue button:Answers from page stored as cookie->Answers from page stored as cookie:loads next scenario->loads next scenario:stores answers in database->stores answers in database:displays thank you message ->displays thank you message :Homepage,take scenario pre-assignment,TRAN_NA,7,6,NaN,undefined,NaN,5
32,stl#User:clicks continue button->User:clicks continue button->clicks continue button:System loads and displays first scenario->System loads and displays first scenario:Answers from page stored as cookie->Answers from page stored as cookie:loads next scenario->loads next scenario:stores answers in database->stores answers in database:displays thank you message ->displays thank you message :Homepage,take scenario pre-assignment,TRAN_NA,8,7,NaN,undefined,NaN,14
1,stl#User:Homepage->User:Homepage,Login,CTRL;EXTCLL;INT,2,8,NaN,undefined,NaN,11
